node_index,is_stop_only,pos_x,pos_y,osmid,y,x
39,FALSE,583750.5151,4132211.285,26506813,37.3328022,-122.054605
40,FALSE,585707.4614,4136079.285,26508299,37.3674844,-122.0320699
41,FALSE,585682.1101,4135989.139,26511920,37.3666743,-122.0323666
42,FALSE,590577.1595,4137011.267,26511937,37.375421,-121.9769681
43,FALSE,585413.8297,4136212.522,26630563,37.3687123,-122.0353702
44,FALSE,582613.4706,4137193.731,26639093,37.3778093,-122.0668829
45,FALSE,582893.6897,4132326.279,30237138,37.3339155,-122.064263
46,FALSE,582167.0126,4132285.982,30237212,37.3336169,-122.0724695
47,FALSE,579262.842,4134163.427,30674115,37.3507904,-122.1050483
48,FALSE,582453.1697,4131695.525,30674506,37.3282699,-122.0693053
49,FALSE,582488.8259,4132233.804,30674763,37.3331181,-122.068843
