node_index,is_stop_only,pos_x,pos_y,osmid,lat,lon,h3_id
312,False,588355.1069,4131937.014,65424836,37.3299036,-122.002667,872834705ffffff
313,False,583121.118,4128773.465,65425282,37.3018746,-122.062094,8728340d3ffffff
314,False,583203.1484,4128938.713,65425283,37.3033566,-122.06115,87283472cffffff
315,False,583832.9318,4128823.685,65425334,37.3022633,-122.0540575,87283472cffffff
316,False,583782.5633,4128915.595,65425337,37.3030962,-122.0546154,87283472cffffff
317,False,583741.4365,4128962.672,65425339,37.3035242,-122.0550741,87283472cffffff
318,False,583688.1082,4128978.405,65425342,37.3036708,-122.055674,87283472cffffff
319,False,583402.6679,4128891.822,65425345,37.3029161,-122.0589042,87283472cffffff
320,False,582143.949,4130316.701,65425388,37.3158703,-122.0729479,87283472dffffff
321,False,590119.2525,4132840.805,65425428,37.3378795,-121.9826467,872834700ffffff
322,False,590098.9747,4132945.963,65425431,37.3388292,-121.9828628,872834700ffffff
323,False,590103.9234,4133082.05,65425433,37.3400552,-121.9827904,872834700ffffff
324,False,590101.3987,4133151.127,65425436,37.340678,-121.9828105,872834700ffffff
325,False,590127.1874,4133282.733,65425439,37.3418616,-121.9825034,872834700ffffff
326,False,585205.875,4130768.526,65425458,37.3196667,-122.0383444,87283472effffff
327,False,585167.2518,4130768.133,65425460,37.3196667,-122.0387803,87283472effffff
328,False,584922.0082,4130770.135,65425463,37.3197072,-122.0415476,872834728ffffff
329,False,590394.7487,4128954.294,65425836,37.3028255,-121.9800106,872834722ffffff
330,False,589551.4295,4135574.296,65425883,37.36257,-121.9887255,872834703ffffff
331,False,588118.8588,4131165.575,65426367,37.3229734,-122.005425,872834705ffffff
332,False,588122.8581,4130779.712,65426370,37.3194954,-122.0054257,872834723ffffff
333,False,588129.1643,4130442.383,65426373,37.3164546,-122.0053946,872834723ffffff
334,False,585709.6071,4132768.066,65426547,37.3376415,-122.0324288,87283472affffff
335,False,585717.9032,4131945.983,65426561,37.3302316,-122.0324302,87283472effffff
336,False,585723.4344,4131536.537,65426563,37.3265409,-122.0324151,87283472effffff
337,False,585724.5811,4131373.511,65426564,37.3250715,-122.032421,87283472effffff
338,False,585727.2396,4131141.586,65426566,37.322981,-122.0324178,87283472effffff
